,URL,Job_Title,Company
1,https://www.seek.co.nz/job/50161366?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Propulsion Test Engineer I or II,Rocket Lab
2,https://www.seek.co.nz/job/50161043?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Data Engineer - Big Data,Finite920
3,https://www.seek.co.nz/job/50160948?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Security Analyst (Level 2),Momentum Consulting Group
4,https://www.seek.co.nz/job/50160866?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Site Reliability Engineer,Spark New Zealand Trading Limited
5,https://www.seek.co.nz/job/50160716?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,DevOps Support Engineer,Halo Consulting Ltd
6,https://www.seek.co.nz/job/50160715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,C++ Software Engineer - 3D Rendering - $140k neg,Enterprise Technology Recruitment Ltd
7,https://www.seek.co.nz/job/50160688?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Senior Developer,Potentia
8,https://www.seek.co.nz/job/50160601?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Full Stack Developer,
9,https://www.seek.co.nz/job/50160628?type=standard#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Technology Analyst,Infosys
10,https://www.seek.co.nz/job/50159984?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Site Reliability Engineer,Fraedom
11,https://www.seek.co.nz/job/50157715?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Software Engineer - Lead,Gentrack Limited
12,https://www.seek.co.nz/job/50157450?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Principal Analyst Pricing,IAG NZ Ltd
13,https://www.seek.co.nz/job/50037079?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Algorithm Developer / Ph.D. or Masters in Math / Amazing projects / Top Salary,Enterprise Technology Recruitment Ltd
14,https://www.seek.co.nz/job/50156986?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Software Engineer /C++, Linux, JavaScript / Machine Vision / $130k neg",Enterprise Technology Recruitment Ltd
15,https://www.seek.co.nz/job/50156783?type=standard#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,"Analytics Specialist Roles, AML Analytics",ASB Bank Limited
16,https://www.seek.co.nz/job/50156576?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Senior .Net Engineer,Talent Army
17,https://www.seek.co.nz/job/50156390?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Head of Data Engineering,Plexure Limited
18,https://www.seek.co.nz/job/50155827?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Senior Polyglot Programmer,JRX SYSTEMS LIMITED
19,https://www.seek.co.nz/job/50156004?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,GIS Analyst,Madison Recruitment Ltd
20,https://www.seek.co.nz/job/50155362?type=standout#searchRequestToken=c398dd64-edd4-41fa-8e7f-f80d62c67be0,Principal Engineer,Sourced | IT Recruitment Specialists
21,https://www.seek.co.nz/job/50155245?type=standout#searchRequestToken=8832f5d8-0084-4464-8014-98091f7cecd1,Data Engineer,Genesis
22,https://www.seek.co.nz/job/50154676?type=standout#searchRequestToken=8832f5d8-0084-4464-8014-98091f7cecd1,"Manager Retail Analytics, Modelling",ASB Bank Limited
23,https://www.seek.co.nz/job/50154421?type=standout#searchRequestToken=8832f5d8-0084-4464-8014-98091f7cecd1,Data Engineer,SGS Consulting ltd
24,https://www.seek.co.nz/job/50153249?type=standout#searchRequestToken=8832f5d8-0084-4464-8014-98091f7cecd1,Senior Full Stack Developer,
25,https://www.seek.co.nz/job/50152675?type=standout#searchRequestToken=8832f5d8-0084-4464-8014-98091f7cecd1,Technology Analyst - .Net,Infosys limited
26,https://www.seek.co.nz/job/50149028?type=standout#searchRequestToken=8832f5d8-0084-4464-8014-98091f7cecd1,DevOps PHP Developer,Umbrellar
27,https://www.seek.co.nz/job/50148990?type=standard#searchRequestToken=8832f5d8-0084-4464-8014-98091f7cecd1,Data Analyst ,Frog Recruitment
28,https://www.seek.co.nz/job/50147913?type=standout#searchRequestToken=8832f5d8-0084-4464-8014-98091f7cecd1,Senior Automation Test Analyst,Westpac
29,https://www.seek.co.nz/job/50146073?type=standard#searchRequestToken=8832f5d8-0084-4464-8014-98091f7cecd1,Senior Software Engineer - Web Development,Lyniate
